seed,model,stress_type,stress_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,n_samples,mean_r_target,mean_observed_missing,mean_observed_implausibility,mean_reliability,std_reliability,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro_ci95_low,f1_macro_ci95_high
2025,Prior Fusion,missing,0.75,0.6100334448160535,0.5219428808654919,0.7429315863493582,0.57710154146912,0.7998112471602399,0.6100334448160535,0.6464393051537525,0.9171335998715405,1495,0.2613155245780945,0.7386844754219055,0.36934223771095276,,,,,,,0.5369988546720756,0.6155301828165833
2025,Prior Fusion,corruption,0.0,0.6107023411371237,0.5226893121611224,0.7438300589459441,0.577979070185186,0.8002963202957956,0.6107023411371237,0.6469944355071724,0.9174539423702619,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,,,,,,,0.5381729360220587,0.6164122187292758
2025,Prior Fusion,corruption,0.25,0.6100334448160535,0.5220237490425514,0.7429694737480095,0.5772358465892803,0.7999181891864939,0.6100334448160535,0.6465329076361729,0.9174265402828523,1495,0.8985507488250732,0.008249721489846706,0.0973244160413742,,,,,,,0.5377871586039732,0.6146964465582089
2025,Prior Fusion,corruption,0.5,0.6080267558528428,0.5202580835063104,0.7403498307555544,0.5751159301876928,0.7987817288457209,0.6080267558528428,0.6451291502779216,0.9173395241961584,1495,0.796655535697937,0.005797101650387049,0.20044595003128052,,,,,,,0.5346115918765326,0.6124959244856895
2025,Prior Fusion,corruption,0.75,0.6086956521739131,0.5222043652018028,0.741210415953489,0.5770219341345131,0.7989066841765848,0.6086956521739131,0.6454770442961824,0.9172527085098253,1495,0.703567385673523,0.004013378173112869,0.2944258749485016,,,,,,,0.5361777950251287,0.6146872740159023
2025,RG-MF,missing,0.0,0.6535117056856188,0.6408449889538751,0.7508785456457509,0.6621501343362193,0.8258307411063587,0.6535117056856188,0.6889712006166981,0.9453588043316575,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,0.5687299966812134,0.00311285350471735,0.9163798894631728,-0.9163799061956857,-0.9163799061956857,0.42348676919937134,0.6196267599140801,0.6931066725438377
2025,RG-MF,missing,0.25,0.6535117056856188,0.6408449889538751,0.7508785456457509,0.6621501343362193,0.8258307411063587,0.6535117056856188,0.6889712006166981,0.9453677250623127,1495,0.7467111945152283,0.25328874588012695,0.12664437294006348,0.5616471767425537,0.015792541205883026,0.48953612200676994,-0.48953612243342737,-0.48953612243342737,0.26849886775016785,0.6196267599140801,0.6931066725438377
2025,RG-MF,missing,0.5,0.6535117056856188,0.6408449889538751,0.7508785456457509,0.6621501343362193,0.8258307411063587,0.6535117056856188,0.6889712006166981,0.9453212493105199,1495,0.5021181702613831,0.49788185954093933,0.24894092977046967,0.5551828145980835,0.01796899363398552,0.42275130571267444,-0.42275130897900093,-0.42275130897900093,0.24319176375865936,0.6196267599140801,0.6931066725438377
2025,RG-MF,missing,0.75,0.6535117056856188,0.6408449889538751,0.7508785456457509,0.6621501343362193,0.8258307411063587,0.6535117056856188,0.6889712006166981,0.9453573002393953,1495,0.2613155245780945,0.7386844754219055,0.36934223771095276,0.5500065088272095,0.015553734265267849,0.3545999845167276,-0.354599988394954,-0.354599988394954,0.33722198009490967,0.6196267599140801,0.6931066725438377
2025,RG-MF,corruption,0.0,0.6535117056856188,0.6408449889538751,0.7508785456457509,0.6621501343362193,0.8258307411063587,0.6535117056856188,0.6889712006166981,0.9453588043316575,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,0.5687299966812134,0.00311285350471735,0.9163798894631728,-0.9163799061956857,-0.9163799061956857,0.42348676919937134,0.6196267599140801,0.6931066725438377
